ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
163;Okayafrica.com;http://okayafrica.com http://www.okayafrica.com https://okayafrica.com https://www.okayafrica.com;2;10;0;IN;2019-10-03T10:48:36.716Z;"163,""Okayafrica.com"",""http://okayafrica.com http://www.okayafrica.com https://okayafrica.com https://www.okayafrica.com"",""2"",""10"",""0"",""IN"",""2019-10-03T10:48:36.716Z"""
156;Cubadebate.cu;http://cubadebate.cu http://www.cubadebate.cu https://cubadebate.cu https://www.cubadebate.cu;2;28;0;IN;2019-10-03T10:45:21.709Z;"156,""Cubadebate.cu"",""http://cubadebate.cu http://www.cubadebate.cu https://cubadebate.cu https://www.cubadebate.cu"",""2"",""28"",""0"",""IN"",""2019-10-03T10:45:21.709Z"""
165;Cubava.cu;http://cubava.cu http://www.cubava.cu https://cubava.cu https://www.cubava.cu;2;21;0;IN;2019-10-03T10:45:23.586Z;"165,""Cubava.cu"",""http://cubava.cu http://www.cubava.cu https://cubava.cu https://www.cubava.cu"",""2"",""21"",""0"",""IN"",""2019-10-03T10:45:23.586Z"""
176;Cubaweb.cu;http://cubaweb.cu http://www.cubaweb.cu https://cubaweb.cu https://www.cubaweb.cu;1;49;0;IN;2019-10-03T10:43:01.002Z;"176,""Cubaweb.cu"",""http://cubaweb.cu http://www.cubaweb.cu https://cubaweb.cu https://www.cubaweb.cu"",""1"",""49"",""0"",""IN"",""2019-10-03T10:43:01.002Z"""
178;Cubaholidays.co.uk;http://cubaholidays.co.uk http://www.cubaholidays.co.uk https://cubaholidays.co.uk https://www.cubaholidays.co.uk;1;1;0;IN;2019-10-03T10:44:40.974Z;"178,""Cubaholidays.co.uk"",""http://cubaholidays.co.uk http://www.cubaholidays.co.uk https://cubaholidays.co.uk https://www.cubaholidays.co.uk"",""1"",""1"",""0"",""IN"",""2019-10-03T10:44:40.974Z"""
185;Cubahora.cu;http://cubahora.cu http://www.cubahora.cu https://cubahora.cu https://www.cubahora.cu;1;8;0;IN;2019-10-03T10:44:41.606Z;"185,""Cubahora.cu"",""http://cubahora.cu http://www.cubahora.cu https://cubahora.cu https://www.cubahora.cu"",""1"",""8"",""0"",""IN"",""2019-10-03T10:44:41.606Z"""
192;Cubarte.net;http://cubarte.net http://www.cubarte.net https://cubarte.net https://www.cubarte.net;1;2;0;IN;2019-10-03T10:43:16.035Z;"192,""Cubarte.net"",""http://cubarte.net http://www.cubarte.net https://cubarte.net https://www.cubarte.net"",""1"",""2"",""0"",""IN"",""2019-10-03T10:43:16.035Z"""
201;Profesiondecubano.blogspot.com;http://profesiondecubano.blogspot.com http://www.profesiondecubano.blogspot.com https://profesiondecubano.blogspot.com https://www.profesiondecubano.blogspot.com;1;1;0;IN;2019-10-03T10:42:19.807Z;"201,""Profesiondecubano.blogspot.com"",""http://profesiondecubano.blogspot.com http://www.profesiondecubano.blogspot.com https://profesiondecubano.blogspot.com https://www.profesiondecubano.blogspot.com"",""1"",""1"",""0"",""IN"",""2019-10-03T10:42:19.807Z"""
202;cinecubanolapupilainsomne.Wordpress.com;http://cinecubanolapupilainsomne.wordpress.com http://www.cinecubanolapupilainsomne.wordpress.com https://cinecubanolapupilainsomne.wordpress.com https://www.cinecubanolapupilainsomne.wordpress.com;1;3;0;IN;2019-10-03T10:45:03.500Z;"202,""cinecubanolapupilainsomne.Wordpress.com"",""http://cinecubanolapupilainsomne.wordpress.com http://www.cinecubanolapupilainsomne.wordpress.com https://cinecubanolapupilainsomne.wordpress.com https://www.cinecubanolapupilainsomne.wordpress.com"",""1"",""3"",""0"",""IN"",""2019-10-03T10:45:03.500Z"""
209;camaguebaxcuba.Wordpress.com;http://camaguebaxcuba.wordpress.com http://www.camaguebaxcuba.wordpress.com https://camaguebaxcuba.wordpress.com https://www.camaguebaxcuba.wordpress.com;1;3;0;IN;2019-10-03T10:45:09.998Z;"209,""camaguebaxcuba.Wordpress.com"",""http://camaguebaxcuba.wordpress.com http://www.camaguebaxcuba.wordpress.com https://camaguebaxcuba.wordpress.com https://www.camaguebaxcuba.wordpress.com"",""1"",""3"",""0"",""IN"",""2019-10-03T10:45:09.998Z"""
215;observatoriocriticodesdecuba.Wordpress.com;http://observatoriocriticodesdecuba.wordpress.com http://www.observatoriocriticodesdecuba.wordpress.com https://observatoriocriticodesdecuba.wordpress.com https://www.observatoriocriticodesdecuba.wordpress.com;2;15;0;IN;2019-10-03T10:45:24.101Z;"215,""observatoriocriticodesdecuba.Wordpress.com"",""http://observatoriocriticodesdecuba.wordpress.com http://www.observatoriocriticodesdecuba.wordpress.com https://observatoriocriticodesdecuba.wordpress.com https://www.observatoriocriticodesdecuba.wordpress.com"",""2"",""15"",""0"",""IN"",""2019-10-03T10:45:24.101Z"""
216;Crossriverheritageafricandiaspora.com;http://crossriverheritageafricandiaspora.com http://www.crossriverheritageafricandiaspora.com https://crossriverheritageafricandiaspora.com https://www.crossriverheritageafricandiaspora.com;1;9;0;IN;2019-10-03T10:48:39.146Z;"216,""Crossriverheritageafricandiaspora.com"",""http://crossriverheritageafricandiaspora.com http://www.crossriverheritageafricandiaspora.com https://crossriverheritageafricandiaspora.com https://www.crossriverheritageafricandiaspora.com"",""1"",""9"",""0"",""IN"",""2019-10-03T10:48:39.146Z"""
218;Afropop.org;http://afropop.org http://www.afropop.org https://afropop.org https://www.afropop.org;1;5;0;IN;2019-10-03T10:39:29.018Z;"218,""Afropop.org"",""http://afropop.org http://www.afropop.org https://afropop.org https://www.afropop.org"",""1"",""5"",""0"",""IN"",""2019-10-03T10:39:29.018Z"""
233;Lahabana.com;http://lahabana.com http://www.lahabana.com https://lahabana.com https://www.lahabana.com;1;4;0;IN;2019-10-03T10:47:46.740Z;"233,""Lahabana.com"",""http://lahabana.com http://www.lahabana.com https://lahabana.com https://www.lahabana.com"",""1"",""4"",""0"",""IN"",""2019-10-03T10:47:46.740Z"""
234;Facebook.com /afrolatinotravel;http://facebook.com/afrolatinotravel http://www.facebook.com/afrolatinotravel https://facebook.com/afrolatinotravel https://www.facebook.com/afrolatinotravel;1;1;0;IN;2019-10-03T10:39:38.028Z;"234,""Facebook.com /afrolatinotravel"",""http://facebook.com/afrolatinotravel http://www.facebook.com/afrolatinotravel https://facebook.com/afrolatinotravel https://www.facebook.com/afrolatinotravel"",""1"",""1"",""0"",""IN"",""2019-10-03T10:39:38.028Z"""
235;Observatoriocriticocuba.org;http://observatoriocriticocuba.org http://www.observatoriocriticocuba.org https://observatoriocriticocuba.org https://www.observatoriocriticocuba.org;1;5;0;IN;2019-10-03T10:42:27.899Z;"235,""Observatoriocriticocuba.org"",""http://observatoriocriticocuba.org http://www.observatoriocriticocuba.org https://observatoriocriticocuba.org https://www.observatoriocriticocuba.org"",""1"",""5"",""0"",""IN"",""2019-10-03T10:42:27.899Z"""
242;Cir-Integracion-Racial-Cuba.org;http://cir-integracion-racial-cuba.org http://www.cir-integracion-racial-cuba.org https://cir-integracion-racial-cuba.org https://www.cir-integracion-racial-cuba.org;2;3;0;IN;2019-10-03T10:45:29.708Z;"242,""Cir-Integracion-Racial-Cuba.org"",""http://cir-integracion-racial-cuba.org http://www.cir-integracion-racial-cuba.org https://cir-integracion-racial-cuba.org https://www.cir-integracion-racial-cuba.org"",""2"",""3"",""0"",""IN"",""2019-10-03T10:45:29.708Z"""
