ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE;"ID,""NAME"",""PREFIXES AS URL"",""INDEGREE"",""TOTAL KNOWN PAGES"",""CRAWLED PAGES"",""STATUS"",""LAST MODIFICATION DATE"""
335;Twitter.com /afrofeminas;http://twitter.com/afrofeminas http://www.twitter.com/afrofeminas https://twitter.com/afrofeminas https://www.twitter.com/afrofeminas;1;4;4;IN;2019-11-21T16:09:50.483Z;"335,""Twitter.com /afrofeminas"",""http://twitter.com/afrofeminas http://www.twitter.com/afrofeminas https://twitter.com/afrofeminas https://www.twitter.com/afrofeminas"",""1"",""4"",""4"",""IN"",""2019-11-21T16:09:50.483Z"""
361;Facebook.com /LosAfroCubanos;http://facebook.com/LosAfroCubanos http://www.facebook.com/LosAfroCubanos https://facebook.com/LosAfroCubanos https://www.facebook.com/LosAfroCubanos;1;287;37;IN;2019-11-21T16:09:50.477Z;"361,""Facebook.com /LosAfroCubanos"",""http://facebook.com/LosAfroCubanos http://www.facebook.com/LosAfroCubanos https://facebook.com/LosAfroCubanos https://www.facebook.com/LosAfroCubanos"",""1"",""287"",""37"",""IN"",""2019-11-21T16:09:50.477Z"""
362;Facebook.com /CubanAfroFeminisms;http://facebook.com/CubanAfroFeminisms http://www.facebook.com/CubanAfroFeminisms https://facebook.com/CubanAfroFeminisms https://www.facebook.com/CubanAfroFeminisms;1;255;42;IN;2019-11-21T16:09:50.477Z;"362,""Facebook.com /CubanAfroFeminisms"",""http://facebook.com/CubanAfroFeminisms http://www.facebook.com/CubanAfroFeminisms https://facebook.com/CubanAfroFeminisms https://www.facebook.com/CubanAfroFeminisms"",""1"",""255"",""42"",""IN"",""2019-11-21T16:09:50.477Z"""
371;Facebook.com /obsesionlasupercronica;http://facebook.com/obsesionlasupercronica http://www.facebook.com/obsesionlasupercronica https://facebook.com/obsesionlasupercronica https://www.facebook.com/obsesionlasupercronica;4;6;3;IN;2019-11-21T15:55:44.294Z;"371,""Facebook.com /obsesionlasupercronica"",""http://facebook.com/obsesionlasupercronica http://www.facebook.com/obsesionlasupercronica https://facebook.com/obsesionlasupercronica https://www.facebook.com/obsesionlasupercronica"",""4"",""6"",""3"",""IN"",""2019-11-21T15:55:44.294Z"""
376;Facebook.com /afrocubanforum;http://facebook.com/afrocubanforum http://www.facebook.com/afrocubanforum https://facebook.com/afrocubanforum https://www.facebook.com/afrocubanforum;4;146;28;IN;2019-11-21T16:09:50.479Z;"376,""Facebook.com /afrocubanforum"",""http://facebook.com/afrocubanforum http://www.facebook.com/afrocubanforum https://facebook.com/afrocubanforum https://www.facebook.com/afrocubanforum"",""4"",""146"",""28"",""IN"",""2019-11-21T16:09:50.479Z"""
387;Facebook.com /OdaymarPasaKruda;http://facebook.com/OdaymarPasaKruda http://www.facebook.com/OdaymarPasaKruda https://facebook.com/OdaymarPasaKruda https://www.facebook.com/OdaymarPasaKruda;1;5;3;IN;2019-11-21T15:55:44.834Z;"387,""Facebook.com /OdaymarPasaKruda"",""http://facebook.com/OdaymarPasaKruda http://www.facebook.com/OdaymarPasaKruda https://facebook.com/OdaymarPasaKruda https://www.facebook.com/OdaymarPasaKruda"",""1"",""5"",""3"",""IN"",""2019-11-21T15:55:44.834Z"""
410;Facebook.com /negracubana;http://facebook.com/negracubana http://www.facebook.com/negracubana https://facebook.com/negracubana https://www.facebook.com/negracubana;2;5;4;IN;2019-11-21T15:55:45.054Z;"410,""Facebook.com /negracubana"",""http://facebook.com/negracubana http://www.facebook.com/negracubana https://facebook.com/negracubana https://www.facebook.com/negracubana"",""2"",""5"",""4"",""IN"",""2019-11-21T15:55:45.054Z"""
447;Yasminsilvia.blogspot.com;http://www.yasminsilvia.blogspot.com http://yasminsilvia.blogspot.com https://www.yasminsilvia.blogspot.com https://yasminsilvia.blogspot.com;3;3060;248;IN;2019-11-21T16:09:50.463Z;"447,""Yasminsilvia.blogspot.com"",""http://www.yasminsilvia.blogspot.com http://yasminsilvia.blogspot.com https://www.yasminsilvia.blogspot.com https://yasminsilvia.blogspot.com"",""3"",""3060"",""248"",""IN"",""2019-11-21T16:09:50.463Z"""
181;Facebook.com /afrocubaweb;http://facebook.com/afrocubaweb http://www.facebook.com/afrocubaweb https://facebook.com/afrocubaweb https://www.facebook.com/afrocubaweb;4;377;48;IN;2019-11-21T16:28:43.286Z;"181,""Facebook.com /afrocubaweb"",""http://facebook.com/afrocubaweb http://www.facebook.com/afrocubaweb https://facebook.com/afrocubaweb https://www.facebook.com/afrocubaweb"",""4"",""377"",""48"",""IN"",""2019-11-21T16:28:43.286Z"""
957;Estebanmoralesdominguez.blogspot.com;http://estebanmoralesdominguez.blogspot.com http://www.estebanmoralesdominguez.blogspot.com https://estebanmoralesdominguez.blogspot.com https://www.estebanmoralesdominguez.blogspot.com;2;2533;228;IN;2019-11-21T16:45:51.545Z;"957,""Estebanmoralesdominguez.blogspot.com"",""http://estebanmoralesdominguez.blogspot.com http://www.estebanmoralesdominguez.blogspot.com https://estebanmoralesdominguez.blogspot.com https://www.estebanmoralesdominguez.blogspot.com"",""2"",""2533"",""228"",""IN"",""2019-11-21T16:45:51.545Z"""
